tweetid,user,data_lemmatized,date,lang,sentiment
1.4239E+17,CarmendelRiego,@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,2011-12-02T00:49:40,es,0
1.42392E+17,CarmendelRiego,@marodriguezb Gracias MAR,2011-12-02T00:57:40,es,1
1.42416E+17,mgilguerrero,"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)",2011-12-02T02:33:37,es,-1
1.42422E+17,paurubio,Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,2011-12-02T02:59:03,es,1
1.42483E+17,Carlos_Latre,Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!,2011-12-02T07:00:50,es,1
1.42494E+17,nacho_uriarte,Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.,2011-12-02T07:45:05,es,1
1.42497E+17,JuanraLucas,Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb,2011-12-02T07:54:19,es,1
1.42498E+17,pedroj_ramirez,Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,2011-12-02T07:58:02,es,1
1.42499E+17,sevillajordi,"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?",2011-12-02T08:04:28,es,1
1.42505E+17,Carlos_Latre,#programascambiados caca d ajuste,2011-12-02T08:26:38,es,-1
1.42507E+17,Lissavetzky_M,Buen viernes,2011-12-02T08:34:52,es,1
1.4251E+17,Carlos_Latre,“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;),2011-12-02T08:45:13,es,1
1.42514E+17,mariviromero,La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija,2011-12-02T09:01:48,es,1
1.42518E+17,iescolar,¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG,2011-12-02T09:17:31,es,1
1.42521E+17,mariviromero,abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ,2011-12-02T09:30:33,es,-1
1.42521E+17,mariviromero,"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB",2011-12-02T09:31:28,es,-1
1.42521E+17,sanchezcastejon,La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas,2011-12-02T09:31:40,es,-1
