tweetid,user,content,date,lang,sentiment
142389933619945473,CarmendelRiego,@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,2011-12-02T00:49:40,es,0
142391947707940864,CarmendelRiego,@marodriguezb Gracias MAR,2011-12-02T00:57:40,es,1
142416095012339712,mgilguerrero,"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)",2011-12-02T02:33:37,es,-1
142422495721562112,paurubio,Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,2011-12-02T02:59:03,es,1
142483342040907776,Carlos_Latre,Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!,2011-12-02T07:00:50,es,1
142494476051562496,nacho_uriarte,Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.,2011-12-02T07:45:05,es,1
142496796416016384,JuanraLucas,Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb,2011-12-02T07:54:19,es,1
142497735814287360,pedroj_ramirez,Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,2011-12-02T07:58:02,es,1
142499355360903168,sevillajordi,"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?",2011-12-02T08:04:28,es,1
142504935853006848,Carlos_Latre,#programascambiados caca d ajuste,2011-12-02T08:26:38,es,-1
142507006832553984,Lissavetzky_M,Buen viernes,2011-12-02T08:34:52,es,1
142509609565962240,Carlos_Latre,“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;),2011-12-02T08:45:13,es,1
142513785154969600,mariviromero,La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija,2011-12-02T09:01:48,es,1
142517740517867520,iescolar,¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG,2011-12-02T09:17:31,es,1
142521019171749888,mariviromero,abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ,2011-12-02T09:30:33,es,-1
142521249246097408,mariviromero,"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB",2011-12-02T09:31:28,es,-1
142521301054140416,sanchezcastejon,La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas,2011-12-02T09:31:40,es,-1
142536698188931072,ccifuentes,Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE,2011-12-02T10:32:51,es,-1
142539660835557376,anabelenroy_tve,Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad,2011-12-02T10:44:38,es,-1
142545185308540928,jesusmarana,"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by",2011-12-02T11:06:35,es,1
142545757445173248,ristomejide,"#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.",2011-12-02T11:08:51,es,-1
142548640685228032,estherpalomera,"Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria",2011-12-02T11:20:19,es,1
142552759953141761,zoidoalcalde,Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,2011-12-02T11:36:41,es,1
142556824292442112,RV1805,#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,2011-12-02T11:52:50,es,1
