data_lemmatized,sentiment
librar ayudar menos beso gracia,0
gracia mar,1
off pensar regalito sinde ir sgae ir corrupto intentar sacar conclusión intentar,-1
conocer alguien q adicto drama ja ja ja sonar d,1
tocar grabacin decilitro especial navideomari crisma,1
bueno dar 1 mandar abrazar grande miguel familia hoy pudrir ser dar grandeza humano,1
escao listar empezar congreso,1
bdas em ira puente si ir dejeis llevar tableta pc luego orbyt momento decir milisegundo,1
sistema econmico q recortar dinero prestación social reforzar billn mediar d euro banco necesitar repensarse,1
caca d ajustar,-1
bueno viernes,1
tt gracia gracia bueno rato amigo,1
universidad confa callar encarar reto milisegundo ambicioso,1
ayudis tt si zapatero querer alguno sugerencia ltimo consejo ministro,1
abcdesevillaes recio indicio potente denunciar responsable erar,-1
abcdesevillaes cuatro alto cargo emplear denunciar retirar prejubilacin extrabajadores,-1
marchar atrs pp posponer devolucin ccaa resbaln debera asumir fallir mentir decir conocer cuenta,-1
viernes negro aumentar parir noviembre disminuir afiliar seguridad social triste,-1
accidentar busvao kilómetro motorista aos herir menos gravar trasladar hospital doce octubre ir,-1
verdadero seriedad cmica niall binns retratar nicanor parra premiar cervantes,1
desear desesperadamente hacerme haz qu dirn,-1
xa x volver sonrer x ser tan autenticar x subidn x victoria,1
agradecer trabajador sindicato desconvocatoria holgar aeropuerto comprometer mediar,1
ser gran iniciativo momento necesitar recordar importante verdadero,1
3 actoacuerdo banco central dar tiempo,1
consciente pedir gran esforzar familia castellanomanchegas,-1
eguiguren gobernar negociar eta llevar do aos denuncindolo,-1
aprobar ley sinde,-1
poder entender mismo solidaridad pedir pv sanidad pv cuanto fiscalidad rioja perder siempre,0
nimo hoy armar esperar podis brindarnos quinto copar davis mucho suerte,1
blanco ministro portavoz funcionar desacreditar formar rotundo pte pse jess eguigurenno saber hablar cierto,-1
desgraciadamente parir espaa seguir crecer madrid ir mejorar cotizante milisegundo desempleado menos,-1
volver,1
qu gracioso laico socialista meter amazing grace anunciar dgt si descuidar poner pange lingua,-1
protocolar iu suponer aportar partir salariar renunciar seguro vida accidentar prestacin social complementario,0
encantar ver aqui,1
si estn valencia espaa recomer exposicin,1
amigaa holaa guapaa,1
juez imputar do directivo ciudad arte ciencia valencia casar urdangarn parecer estn menos litro,-1
desempleo ee uu bajo nivelar marzo,1
granar reconocer dar dato parir objetividad interinidad,-1
corazn partir espaa irlanda enfrentarn eurocopa,-1
transparencia internacional espaa ocupar n ranking pdetrs detrs chipre emirato arabes qatarurge ley transparencia,-1
rt stas navidad regalar solidaridad cont,1
crisis identidad rt t espaola encimar,-1
teleton hacer gran servicio social ir apoyarlo suponer rt cont,1
cospedal debera pedir perdn mentir utilizar formar demaggica rebajar soldar funcionariosla ahora aplicar pudor,-1
as gustar mnica orden jefe cualquiera ir discutir ipadorbyttrabajo,1
hacer cincar mesar pp comunic escribir interlocutor preferente iu él permiti gobernar ahora pedir consenso,1
bienvenido brigada antivara regin problema milisegundo iu dejar tirar monago mesar despus nombramiento,-1
ley embudocaracterstica derecho espaola animar,-1
cierto llevar maravillar rt qe cont,1
espaa poner punto ganar quinto davissevilla d nuevo talismnmaanah,1
bueno espaa punto ganar copar davis felicidad equipar,1
borrar est amiguetes abruzo,1
nadaa sabeis asi vez coincidir mandar cariort cont,1
adis dar q casi culminar destapar decilitro bienestar q ir quedar despus d q gastar casi,-1
risa iluminar alma estn baadas tristeza sonrisa tibio caricia helar soledadwh patrick,1
detener carrera nuclear irn debera ser prioridad estratgica mxima occidente,-1
ver si entender banco central europeo poder prestar gobierno prestar fmi q q si puedelo hacer europa,1
alto cargo recelar exhaustivo traspasar poder asegurar convertir fiscalizacin,-1
bueno dias bueno eransiguen ser talking heads,1
jijijiji q sibe mesar decilitro jurar verdadero manolo escobar hacer d lady marmalade jojijii,1
resultar preliminar egipto augurar profundar cambiar consecuencia regionalesfalta votar rural q atenuar resultar,-1
tranquilidad carretero segundar dar puente constitucin,1
gracia hospitalidad rt bienvenido don humilde morar,1
espoln conmemorar dar discapacidad,1
vndalos arrancar nuevo lpiz picasso,-1
apoyar verdad reducir impuesto pueblo,1
d aguar fria despues decilitro entrenamiento maana ahora comer d pastar descansar total noche q sera dificil,-1
correr dewars gracia jordi,1
detenido jefe prestigioso ong ruso control electoral,1
programar gracia buenafuente q dar tanto risa,-1
artculo esd testarudez consejero salud riojano poner sanz picota,-1
sinceramente observar zona recrear psiquitrica hcivil pattico ver,-1
fino mujer amigo repartir iceberg nuevo pelcula gabriel velzquezpor gabri pasar aos,1
as zona recrear psiquitrica hospital civil pattico personar,-1
reservar dnde cmo depositar ahorro familia slo obligar trasparencia pblica aunque ver experto,-1
bien sentir si asla uedila bienvenido ayeresperemos aun salir adelantar,-1
rtupyd pactar casco tener grupoa pesar d decan lcito tipo d pacto,0
gracia amigo,1
ojalar espaa igual rt brasil necesitar diploma ejercer periodismo,0
precioso verdad perdname by pablar alborn from,1
