tweetid,user,content,date,lang,sentiment
772253053328105472,713600676,"@kikorobles11 6 meses con la banda y largo, fue. Algo parecido a lo de Omar Briceño. segun Freddy ex- de papel y Lapiz. Vane, Nenas y yo.",Sun Sep 04 02:00:50 +0000 2016,es,NONE
768207044864307200,103368235,"En este mundo de presas sin fin, sigo sin entender ese parámetro de ""acelera de 0 a 100 en X segundos"". Claro, si lo quiere p piques..",Tue Aug 23 22:03:26 +0000 2016,es,NONE
768306533092384768,214714529,"El primer año que empecé a vivir lejos de mi casa mami me llamaba todos los días, ya no, se pasan los días y nada, el amor se acaba",Wed Aug 24 04:38:46 +0000 2016,es,N
756520939492302849,17639330,"Maes, la vida es una mierda: estén felices o no. Mejor sonrían y aprovechen el tiempo. Estar amargado no la va a hacer menos mierda.",Fri Jul 22 16:07:02 +0000 2016,es,NEU
760133031076126721,1643939671,"@TomasZumad Ando peor que Tinkerbell en sus años mozos. ¿Y si nos vemos hoy? Tía se fue a la romería, estoy sola y tengo maqueta q hacer.",Mon Aug 01 15:20:11 +0000 2016,es,N
758521854822797316,408201040,"Estábamos subrayando en Sociales y el apellido de un mae era ""Kagame"", y soy tan inmadura que no paré de reírme por casi toda la lección.",Thu Jul 28 04:37:57 +0000 2016,es,P
766699500891242496,1643939671,"""Él es raro, pero es hay q estar demasiado mal de la cabeza para querer estar con alguien tan dañada como yo"". -Yo, hablando con mi papá.",Fri Aug 19 18:13:00 +0000 2016,es,N
761975787306176512,3040528285,En teoría el comic SS no se basa solo en el Joker así que es bola de ridículos debería de relaje la puta nalga y dejar al flaco en paz,Sat Aug 06 17:22:39 +0000 2016,es,N
762726968726999041,2993752546,"El profe dijo que instaláramos el SPSS en las compus y yo le contesté: «pase el pack, prrro. >:v » y se molestó.",Mon Aug 08 19:07:34 +0000 2016,es,NONE
759492187721601024,138940047,"Rara vez viajo en bus a mi pueblo, para ser exacta 2 veces en este año y las dos veces se descompone el bus. Esto tiene que ser un chiste",Sat Jul 30 20:53:42 +0000 2016,es,N
778614159189553152,60878511,"40 min. tarde al brete, pero ya entrené y la gocé en el gym. Pobre la familia del mae que falleció en el accidente, les deseo mucha paz",Wed Sep 21 15:17:36 +0000 2016,es,NEU
778433257532563456,2761575514,Los tweets de Marian me recordó que a mi crush no le gusta Axl Rose pero si le gusta Guns n roses así que no supe si ser feliz o no,Wed Sep 21 03:18:45 +0000 2016,es,NEU
785143441705533442,306576539,Que le pasa a @FreddyPC09 que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!,Sun Oct 09 15:42:38 +0000 2016,es,N
783528310399729665,120940293,"Yo al chile me sorprendo jaja en el cole estudiaba la noche antes y me iba super bien, en la U empiezo 15 días antes y ni bien ni mal",Wed Oct 05 04:44:41 +0000 2016,es,N
783181094556471296,73497561,"Siempre la paz es lo mejor. De lo sucedido en Colombia ayer, duele es que solamente 36% de la gente salió a votar. Ganó la indiferencia",Tue Oct 04 05:44:58 +0000 2016,es,N
779892272922001408,16956195,"De hoy en 3 meses será mi día favorito del año (amo los 24 de diciembre desde pequeña), aunque este año no estarán una tía y mi abuelita",Sun Sep 25 03:56:22 +0000 2016,es,P
781193607302656000,713600676,"@sole_pastorutti Sole. Porfa: Un saludo a Costa Rica, no se si hayas estada aca, pero aca te vemos en Rincon de Luz. Un Saludito, sii.",Wed Sep 28 18:07:24 +0000 2016,es,NONE
781280725425283072,37989014,"@Phoenix2124 uno siente susto, asco, cólera etc.. y luego vienen los ""Porqué no le dijo"" ""Porqué no .."" -.- Sean necios! Es una ruleta",Wed Sep 28 23:53:35 +0000 2016,es,N
779780983151362048,14628107,@Rodriguillos y vos tan sano,Sat Sep 24 20:34:08 +0000 2016,es,N
780929831462592512,2296839450,Yo escucho mujeres hablando de la dieta estricta que llevan y yo pienso: - Yo con eso me muero de hambre. - La dieta es pecado. Y así..,Wed Sep 28 00:39:15 +0000 2016,es,N
776135882436808706,3673417236,@Caliotero a bueno entonces tranquilo,Wed Sep 14 19:09:48 +0000 2016,es,NONE
786580777848836098,67230973,"Hoy voy a que me hagan pava, pero estoy segura que de nuevo me van a decir ""Nana, NO, su frente es muy pequeña"". La historia de mi vida",Thu Oct 13 14:54:06 +0000 2016,es,N
788099613404258304,60878511,"@eRickRP Y bueno, ¿alguien le paga a esa mae para que sea una odiosa? Yo lo soy gratis, jajaja. No hay altruismo en la gente, de veras.",Mon Oct 17 19:29:24 +0000 2016,es,N
788512364572270592,353322123,@maracuyasalvaje quiero retuitear esto ajjaja,Tue Oct 18 22:49:32 +0000 2016,es,P
788525644468539392,1046391228,"Cada vez que veo una moto de Correos de Costa Rica, yo soy como: «Señor, ¿no lleva algo ahí con mi nombre?» Ahorita llega, ahorita llega.",Tue Oct 18 23:42:18 +0000 2016,es,NONE
795475383659413504,590647530,"Mami: el sábado vamos a ir a comer, vas a ir? Yo: si claro Mami: pero primero vamos a ir a misa Yo: ah! Yo sé llegar al lugar Mami:",Mon Nov 07 03:58:05 +0000 2016,es,NONE
790364401412878336,299978719,Muchas gracias queridos SPOILERS #TWD,Mon Oct 24 01:28:52 +0000 2016,es,N
791715354372300800,763016797,"En pleno 2016 ya no debería existir la siguiente conversación: Hola! -Hola Como estas? -Bien, vos? (Esa conversación q no pasa de ahí)",Thu Oct 27 18:57:04 +0000 2016,es,N
791640101751230464,59943018,"Tengo que aceptar que me esta hundiendo el consumismo con la nueva Macbook Pro, la Gopro Hero 5, el Gopro Karma y el Nintendo Switch",Thu Oct 27 13:58:02 +0000 2016,es,NEU
791045004558991362,120940293,@GermanJBH Que triste la verdad,Tue Oct 25 22:33:20 +0000 2016,es,N
791493489754271745,1090377990,"Cuando se tiene alguna enfermedad no se aprende a ser más fuerte, nunca, se sufre igual, solo se aprende a vivir con eso.",Thu Oct 27 04:15:27 +0000 2016,es,NEU
791152385070604288,108429729,"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",Wed Oct 26 05:40:02 +0000 2016,es,N
785671856447561729,48455124,"@imcanadianbacon si , tengo q ver, para ir a la clínica tengo q pedir mínimo 2 días de vacaciones xq ni carnet tengo y no tengo dias",Tue Oct 11 02:42:22 +0000 2016,es,NONE
786282786864795649,747577174668939264,"@joraguer es muy chiva. Yo llego con cara de vergüenza a pedirle que por fis se quede para sacar una tarea, y me dice con que claro",Wed Oct 12 19:09:59 +0000 2016,es,P
