data_lemmatized,sentiment
what say,0
plus you have add commercials to the experience tacky,1
i do not today must mean i need to take another trip,0
it be really aggressive to blast obnoxious entertainment in your guests face amp they have little recourse,-1
and it be a really big bad thing about it,-1
seriously would pay a flight for seat that do not have this playingits really the only bad thing about fly va,-1
yes nearly every time i fly vx this ear worm will not go away smiley,1
really miss a prime opportunity for men without hat parody there,0
well i didntbut now i do smiley,1
it be amaze and arrive an hour early youre too good to me,1
do you know that suicide be the second lead cause of death among teens,0
i lt pretty graphics so much better than minimal iconography smiley,1
this be such a great deal already think about my nd trip to amp i have not even go on my st trip yet playful,1
i be fly your sky again you take all the away from travel,1
thank,1
sfopdx schedule be still miss in action,-1
so excite for my first cross country flight lax to mco i have hear nothing but great things about virgin america,1
i fly from nyc to sfo last week and could not fully sit in my seat due to two large gentleman on either side of me help,-1
i redheart fly smilingface thumbsup,1
you know what would be amazingly awesome bosfll please i want to fly with only you,1
why be your first fare in may over three time more than other carriers when all seat be available to select,-1
i love this graphic,1
i love the hipster innovation you be a feel good brand,1
will you be make bosgtlas non stop permanently anytime soon,0
you guy mess up my seat i reserve seat with my friends and you guy give my seat away poutingface i want free internet,-1
status match program i apply and it be be three weeks call and email with no response,-1
what happen ur vegan food options at least say on ur site so i know i will not be able eat anything for next hrs,-1
do you miss me dont worry we will be together very soon,0
amaze to me that we can not get any cold air from the vent,-1
lax to ewr middle seat on a red eye such a noob maneuver,0
hi i just bked a cool birthday trip with you but i can not add my elevate no cause i enter my middle name during flight book problems cryingface,-1
be the hours of operation for the club at sfo that be post online current,0
help leave expensive headphones on flight iad to lax today seat a no one answer lampf number at lax,-1
await my return phone call just would prefer to use your online selfservice option sad,-1
this be great news america could start flight to hawaii by end of year via,1
nice rt vibe with the moodlight from takeoff to touchdown,0
moodlighting be the only way to fly best experience ever cool and calm purpleheart airplane,1
do and do best airline around hand down,1
when can i book my flight to hawaii,0
your chat support be not work on your site,-1
view of downtown los angeles the hollywood sign and beyond that rain in the mountains,1
hey first time flyer next week excite but i be have a hard time get my flight add to my elevate account help,-1
please help me win my bid upgrade for my flight laxgtsea wineglass thumbsup seat airplane,0
i have an unused ticket but move to a new city where you do not fly how can i fly with you before it expire,0
be flight leave dallas for seattle on time feb,0
i be for a good reason you rock,1
dream,0
wow this just blow my mind,1
after last night i think agree,0
all be entertain,0
be flight on it be way be suppose to take off minutes ago website still show on time not in flight thank,0
julie andrews all the way though be very impressive no to,1
wish you fly out of atlanta soon,0
julie andrews hand down,0
will flight be leave dallas for la on february th,0
refund,0
hi im so excite about your lgagtdal deal but ive be try book since last week amp the page never load thank you,-1
you know it need it on my spotify stat,1
i be lady gaga she be amaze smilingfacewithsmilingeyes,1
carrie,0
new market song let us know what you think,0
julie andrews first but lady gaga wowd me last night carrie meh,0
i call a weeks ago about add flight from to my elevatethey still have not show uphelp,-1
all be great but i have to go with smilingfacewithhearteyes okhand,0
sorry mary martin have it first,0
love all three but you really can not beat the classics,1
flight dal to dca pm try to check in could not status please,0
heyy guyys be try to get through for an hour can someone call me please,-1
hi virgin i be on hold for minutes be there any earlier flight from la to nyc tonight earlier than pm,-1
congrats on win the award for best deal from an airline us,1
everything be fine until you lose my bag,-1
need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,0
i email your customer service team let me know if you need the track number,0
hi i just book a flight but need to add baggage how can i do this,0
your airline be awesome but your lax loft need to step up its game for dirty table and floor,-1
not worry it be be a great ride in a new plane with great crew all airlines should be like this,1
awesome i fly yall sit morning any way we can correct my bill,1
or watch some of the best student film in the country at feet,0
first time fly you all do you have a different ratepolicy for media bag thank,0
what be go on with customer service be there anyway to speak to a human as soon as possible thank you,-1
what happen to doom,0
why can not you supp the biz traveler like and have customer service like,-1
i have apply more then once to be a member of the crew teamim interest g,1
you be the best whenever i begrudgingly use any other airline i be delay and late flight sad,-1
i have no interest fly with you after this i will cancel flight my next four flight i plan,-1
it be a disappoint experience which will be share with every business traveler i meet,-1
i be have trouble add this flight my wife book to my elevate account help,-1
